Year #,Calendar Year,Player,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
1,1991,Andre Agassi,133,100,0.65,0.68,0.55,344,0.62,651,0.8,0.63,0.32,0.53,443,0.42,644,0.29,0.4,0.52
2,1992,Andre Agassi,152,107,0.63,0.69,0.54,314,0.61,610,0.8,0.64,0.3,0.58,430,0.47,603,0.34,0.42,0.53
3,1993,Andre Agassi,178,94,0.62,0.73,0.51,245,0.64,490,0.82,0.65,0.32,0.6,402,0.45,482,0.37,0.44,0.54
4,1994,Andre Agassi,202,124,0.65,0.71,0.54,395,0.65,805,0.83,0.65,0.31,0.59,580,0.47,803,0.34,0.42,0.53
5,1995,Andre Agassi,319,161,0.64,0.74,0.56,353,0.67,917,0.87,0.68,0.32,0.6,734,0.45,925,0.36,0.43,0.55
6,1996,Andre Agassi,192,141,0.59,0.7,0.5,331,0.58,588,0.76,0.62,0.31,0.56,447,0.42,594,0.31,0.41,0.51
7,1997,Andre Agassi,91,95,0.58,0.7,0.49,167,0.63,261,0.76,0.61,0.28,0.55,192,0.38,258,0.28,0.41,0.51
8,1998,Andre Agassi,353,206,0.64,0.74,0.52,426,0.67,937,0.85,0.66,0.32,0.57,741,0.41,939,0.32,0.42,0.54
9,1999,Andre Agassi,386,174,0.61,0.77,0.56,337,0.7,871,0.88,0.69,0.32,0.57,658,0.45,878,0.34,0.42,0.55
10,2000,Andre Agassi,269,159,0.61,0.74,0.55,278,0.66,614,0.85,0.66,0.29,0.54,404,0.44,622,0.28,0.4,0.53
11,2001,Andre Agassi,299,138,0.66,0.73,0.54,325,0.62,789,0.84,0.67,0.32,0.55,618,0.4,779,0.32,0.42,0.54
12,2002,Andre Agassi,379,178,0.63,0.75,0.56,287,0.63,791,0.87,0.67,0.33,0.53,578,0.42,785,0.31,0.42,0.54
13,2003,Andre Agassi,316,134,0.62,0.74,0.55,296,0.65,729,0.86,0.67,0.36,0.54,545,0.47,737,0.34,0.44,0.55
14,2004,Andre Agassi,348,115,0.6,0.76,0.56,235,0.69,605,0.88,0.68,0.29,0.55,375,0.42,606,0.26,0.39,0.53
15,2005,Andre Agassi,303,127,0.6,0.75,0.54,303,0.7,599,0.85,0.67,0.31,0.52,390,0.43,605,0.27,0.4,0.53
16,2006,Andre Agassi,162,55,0.59,0.72,0.53,128,0.63,255,0.82,0.64,0.29,0.51,142,0.37,256,0.2,0.38,0.51
1,1995,Carlos Moya,29,18,0.67,0.61,0.56,129,0.59,185,0.71,0.59,0.36,0.5,126,0.44,182,0.31,0.42,0.5
2,1996,Carlos Moya,204,131,0.65,0.68,0.5,453,0.59,780,0.76,0.62,0.33,0.54,523,0.45,778,0.3,0.42,0.52
3,1997,Carlos Moya,263,173,0.62,0.68,0.5,593,0.58,970,0.75,0.61,0.32,0.54,647,0.46,973,0.31,0.41,0.51
4,1998,Carlos Moya,353,178,0.55,0.72,0.51,520,0.6,924,0.77,0.63,0.31,0.54,658,0.4,932,0.28,0.41,0.51
5,1999,Carlos Moya,313,205,0.53,0.7,0.48,528,0.63,767,0.75,0.6,0.32,0.52,548,0.39,774,0.28,0.4,0.5
6,2000,Carlos Moya,272,141,0.55,0.73,0.52,353,0.66,659,0.82,0.64,0.31,0.49,406,0.37,664,0.23,0.38,0.51
7,2001,Carlos Moya,369,138,0.57,0.73,0.53,379,0.62,742,0.8,0.64,0.29,0.51,437,0.4,752,0.23,0.38,0.51
8,2002,Carlos Moya,380,186,0.6,0.74,0.52,473,0.65,949,0.83,0.65,0.31,0.5,628,0.38,950,0.25,0.39,0.52
9,2003,Carlos Moya,481,236,0.55,0.76,0.55,468,0.66,959,0.83,0.67,0.39,0.53,633,0.41,958,0.27,0.45,0.56
10,2004,Carlos Moya,496,185,0.57,0.76,0.55,359,0.65,856,0.85,0.67,0.31,0.5,522,0.39,851,0.24,0.38,0.52
11,2005,Carlos Moya,267,132,0.6,0.72,0.5,354,0.64,633,0.8,0.64,0.31,0.48,378,0.39,633,0.24,0.38,0.51
12,2006,Carlos Moya,318,126,0.59,0.73,0.51,339,0.64,654,0.81,0.64,0.3,0.48,334,0.39,651,0.2,0.36,0.51
13,2007,Carlos Moya,371,180,0.62,0.72,0.51,454,0.67,806,0.81,0.64,0.32,0.49,474,0.41,805,0.24,0.38,0.51
14,2008,Carlos Moya,264,130,0.61,0.71,0.55,323,0.63,650,0.82,0.65,0.28,0.46,320,0.37,657,0.18,0.35,0.5
15,2009,Carlos Moya,31,27,0.54,0.74,0.49,45,0.62,77,0.78,0.62,0.23,0.5,32,0.38,76,0.16,0.32,0.48
16,2010,Carlos Moya,25,15,0.59,0.66,0.49,48,0.52,78,0.71,0.59,0.29,0.43,41,0.34,81,0.17,0.34,0.46
1,1991,Goran Ivanisevic,565,163,0.56,0.79,0.51,300,0.64,667,0.84,0.67,0.29,0.49,359,0.41,674,0.22,0.36,0.51
2,1992,Goran Ivanisevic,957,256,0.57,0.84,0.53,311,0.67,909,0.89,0.71,0.27,0.51,479,0.39,913,0.2,0.37,0.53
3,1993,Goran Ivanisevic,801,304,0.53,0.82,0.52,329,0.65,842,0.86,0.68,0.28,0.49,418,0.43,844,0.21,0.36,0.52
4,1994,Goran Ivanisevic,1156,361,0.57,0.83,0.49,449,0.68,1075,0.87,0.68,0.27,0.5,656,0.36,1077,0.22,0.37,0.52
5,1995,Goran Ivanisevic,901,250,0.53,0.83,0.51,333,0.68,776,0.86,0.68,0.27,0.5,358,0.43,778,0.2,0.35,0.52
6,1996,Goran Ivanisevic,1477,430,0.55,0.85,0.52,405,0.69,1153,0.89,0.7,0.25,0.51,572,0.42,1153,0.21,0.36,0.53
7,1997,Goran Ivanisevic,1011,383,0.54,0.83,0.5,359,0.7,862,0.88,0.68,0.25,0.5,431,0.39,869,0.19,0.35,0.52
8,1998,Goran Ivanisevic,1065,444,0.54,0.84,0.47,427,0.68,943,0.86,0.67,0.24,0.48,437,0.37,914,0.18,0.34,0.51
9,1999,Goran Ivanisevic,703,366,0.54,0.81,0.46,299,0.59,620,0.8,0.65,0.24,0.46,262,0.39,615,0.17,0.33,0.49
10,2000,Goran Ivanisevic,424,214,0.52,0.78,0.46,243,0.59,416,0.76,0.63,0.24,0.46,160,0.44,416,0.17,0.33,0.48
11,2001,Goran Ivanisevic,801,235,0.57,0.81,0.51,253,0.69,630,0.87,0.68,0.22,0.45,216,0.39,623,0.13,0.31,0.5
12,2002,Goran Ivanisevic,148,56,0.54,0.78,0.49,70,0.63,141,0.82,0.64,0.27,0.46,75,0.32,143,0.17,0.34,0.49
13,2003,Goran Ivanisevic,11,13,0.52,0.7,0.32,24,0.54,23,0.52,0.52,0.19,0.4,5,0.8,23,0.17,0.29,0.42
14,2004,Goran Ivanisevic,191,97,0.59,0.77,0.48,98,0.6,187,0.79,0.65,0.22,0.4,45,0.38,190,0.09,0.28,0.47
1,1996,Gustavo Kuerten,59,47,0.54,0.7,0.51,116,0.53,205,0.74,0.61,0.31,0.44,118,0.36,213,0.2,0.36,0.48
2,1997,Gustavo Kuerten,480,185,0.54,0.75,0.51,362,0.59,733,0.8,0.64,0.29,0.52,477,0.38,737,0.24,0.39,0.51
3,1998,Gustavo Kuerten,498,182,0.54,0.76,0.5,396,0.64,773,0.82,0.64,0.29,0.5,426,0.42,767,0.24,0.38,0.51
4,1999,Gustavo Kuerten,606,168,0.53,0.79,0.5,397,0.63,846,0.83,0.66,0.3,0.51,467,0.5,857,0.27,0.39,0.52
5,2000,Gustavo Kuerten,742,175,0.54,0.78,0.54,402,0.65,982,0.86,0.67,0.29,0.51,623,0.39,983,0.25,0.39,0.53
6,2001,Gustavo Kuerten,683,158,0.56,0.77,0.55,422,0.7,945,0.87,0.67,0.29,0.52,647,0.38,944,0.26,0.39,0.53
7,2002,Gustavo Kuerten,337,64,0.56,0.76,0.53,200,0.62,513,0.85,0.66,0.27,0.5,261,0.43,517,0.22,0.36,0.51
8,2003,Gustavo Kuerten,491,117,0.56,0.77,0.54,322,0.64,718,0.84,0.67,0.34,0.51,439,0.39,718,0.24,0.41,0.54
9,2004,Gustavo Kuerten,287,98,0.55,0.74,0.5,240,0.58,481,0.79,0.63,0.3,0.51,285,0.44,477,0.26,0.39,0.51
10,2005,Gustavo Kuerten,73,40,0.52,0.7,0.45,96,0.56,132,0.68,0.58,0.25,0.46,66,0.3,132,0.15,0.34,0.46
11,2006,Gustavo Kuerten,8,3,0.53,0.76,0.54,3,0.33,14,0.86,0.66,0.28,0.41,6,0.17,14,0.07,0.33,0.48
12,2007,Gustavo Kuerten,59,22,0.59,0.75,0.45,52,0.58,91,0.76,0.62,0.23,0.46,37,0.35,92,0.14,0.33,0.48
13,2008,Gustavo Kuerten,14,11,0.53,0.67,0.4,31,0.48,38,0.58,0.54,0.18,0.29,8,0.25,42,0.05,0.22,0.4
1,1991,Jim Courier,379,157,0.63,0.73,0.55,371,0.63,892,0.85,0.66,0.32,0.53,566,0.46,874,0.3,0.41,0.53
2,1992,Jim Courier,441,200,0.61,0.76,0.54,414,0.68,1016,0.87,0.67,0.32,0.55,701,0.42,992,0.3,0.41,0.54
3,1993,Jim Courier,357,205,0.61,0.76,0.54,379,0.66,973,0.87,0.67,0.32,0.54,657,0.42,946,0.29,0.41,0.54
4,1994,Jim Courier,266,163,0.62,0.74,0.52,342,0.63,766,0.83,0.66,0.32,0.54,506,0.42,748,0.29,0.41,0.53
5,1995,Jim Courier,416,217,0.62,0.75,0.53,403,0.65,994,0.86,0.67,0.28,0.54,560,0.44,973,0.26,0.39,0.53
6,1996,Jim Courier,249,135,0.62,0.73,0.53,260,0.6,579,0.82,0.65,0.29,0.52,342,0.43,569,0.26,0.38,0.52
7,1997,Jim Courier,269,161,0.61,0.73,0.5,317,0.59,659,0.8,0.64,0.28,0.52,381,0.43,652,0.25,0.38,0.51
8,1998,Jim Courier,189,90,0.65,0.71,0.51,249,0.63,458,0.8,0.64,0.27,0.47,232,0.37,453,0.19,0.36,0.5
9,1999,Jim Courier,289,119,0.66,0.74,0.54,303,0.66,643,0.84,0.67,0.26,0.51,327,0.37,640,0.19,0.37,0.52
10,2000,Jim Courier,58,25,0.61,0.73,0.54,62,0.61,128,0.81,0.66,0.24,0.45,49,0.39,129,0.15,0.33,0.49
1,1991,Michael Stitch,559,263,0.58,0.76,0.56,431,0.69,1060,0.87,0.67,0.32,0.47,612,0.42,1058,0.24,0.38,0.53
2,1992,Michael Stitch,421,186,0.59,0.77,0.56,278,0.63,731,0.86,0.68,0.3,0.49,380,0.44,734,0.23,0.38,0.53
3,1993,Michael Stitch,772,421,0.54,0.8,0.52,507,0.69,1137,0.86,0.67,0.29,0.5,649,0.39,1124,0.22,0.38,0.52
4,1994,Michael Stitch,627,290,0.58,0.79,0.51,387,0.64,955,0.86,0.67,0.31,0.49,574,0.4,945,0.24,0.39,0.53
5,1995,Michael Stitch,490,206,0.57,0.77,0.52,322,0.65,748,0.85,0.66,0.32,0.5,462,0.4,731,0.25,0.39,0.53
6,1996,Michael Stitch,427,180,0.55,0.8,0.49,231,0.64,502,0.83,0.66,0.29,0.52,295,0.4,496,0.24,0.39,0.53
7,1997,Michael Stitch,250,175,0.54,0.76,0.5,237,0.65,386,0.79,0.64,0.29,0.51,223,0.39,389,0.22,0.38,0.51
1,2004,Novak Djokovic,26,21,0.62,0.61,0.44,39,0.49,54,0.63,0.54,0.38,0.46,46,0.35,55,0.29,0.41,0.48
2,2005,Novak Djokovic,88,58,0.63,0.7,0.48,161,0.59,261,0.75,0.62,0.28,0.51,136,0.4,252,0.22,0.37,0.49
